Scheme_Name	Asset_Value
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3425.1415
Invesco India Corporate Bond Fund - Growth	3260.4873
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1868.8027
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1170.5588
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	4052.4105
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1072.4033
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3876.0709
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1262.6743
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.3487
Mirae Asset Corporate Bond Fund Direct IDCW	13.3456
Mirae Asset Corporate Bond Fund Regular Growth	13.0770
Mirae Asset Corporate Bond Fund Regular IDCW	13.0770
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	20.5169
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.8242
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.2856
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.1050
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	46.2270
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	64.7478
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	44.0006
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	61.6088
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	19.7378
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.6901
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option	12.1225
NIPPON INDIA CORPORATE BOND FUND - WEEKLY IDCW Option	17.1047
PGIM India Corporate Bond Fund - Annual Dividend	10.76
PGIM India Corporate Bond Fund - Direct Plan - Annual Dividend	16.573
PGIM India Corporate Bond Fund - Direct Plan - Growth	49.4454
PGIM India Corporate Bond Fund - Direct Plan - Monthly Dividend	15.0174
PGIM India Corporate Bond Fund - Direct Plan - Quarterly Dividend	13.1941
PGIM India Corporate Bond Fund - Growth	44.2599
PGIM India Corporate Bond Fund - Monthly Dividend	12.8881
PGIM India Corporate Bond Fund - Premium Plus Plan - Growth	21.588
